nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
aminual01,4.0,8.6,0.467,1.6,4.7,0.332,2.5,,,1.1,9.5,106.0,5.6,13.3,0.42,2.6,3.5,0.746,711.0,445.0,11 Yrs,17698.0,2.8,103.0,3.7,15.4,,1.9,11 Yrs,2.5,12.3,11 Yrs,0.478
aminual01,3.2,6.9,0.468,2.4,6.9,0.353,2.5,,,1.0,9.9,107.0,5.7,13.8,0.411,2.4,3.2,0.771,293.0,255.0,POR (4 Yrs),8478.0,2.2,107.0,3.2,16.2,,1.6,POR (4 Yrs),2.1,12.2,POR (4 Yrs),0.499
aminual01,5.5,11.7,0.475,0.3,1.1,0.263,2.7,,,1.2,9.8,106.0,5.8,12.7,0.457,2.7,3.7,0.716,222.0,157.0,NOH (3 Yrs),5588.0,3.5,101.0,4.2,14.6,,2.2,NOH (3 Yrs),2.8,13.3,NOH (3 Yrs),0.468
aminual01,2.9,7.0,0.417,1.0,4.4,0.239,3.3,,,1.1,8.7,109.0,4.0,11.4,0.349,2.2,3.0,0.717,35.0,16.0,ORL (2 Yrs),747.0,2.9,91.0,3.2,11.1,,2.3,ORL (2 Yrs),2.7,11.6,ORL (2 Yrs),0.394
aminual01,4.1,9.4,0.437,1.6,5.1,0.315,2.1,,,0.9,6.8,108.0,5.7,14.5,0.394,3.3,4.2,0.773,81.0,14.0,LAC (1 Yr),1452.0,2.7,94.0,4.3,16.3,,2.1,LAC (1 Yr),3.7,9.5,LAC (1 Yr),0.45
aminual01,4.2,8.6,0.485,1.3,4.6,0.274,2.2,,,2.3,8.4,102.0,5.4,13.2,0.412,3.1,4.4,0.712,74.0,3.0,DAL (1 Yr),1366.0,4.2,107.0,5.1,15.2,,2.6,DAL (1 Yr),2.0,12.6,DAL (1 Yr),0.459
aminual01,0.7,2.9,0.25,0.7,4.3,0.167,1.4,,,0.0,12.3,111.0,1.4,7.2,0.2,2.9,3.6,0.8,6.0,0.0,CHI (1 Yr),67.0,1.4,77.0,5.1,6.5,,1.4,CHI (1 Yr),2.2,13.7,CHI (1 Yr),0.25
amundlo01,3.6,8.9,0.4,0.0,0.0,,0.6,24.0,,4.8,8.9,103.0,3.6,8.9,0.4,2.4,5.9,0.4,11.0,0.0,NBA,89.0,7.7,91.0,8.9,9.5,PF,0.6,2006-07,3.0,16.6,2TM,0.4
amundlo01,0.0,0.0,,0.0,0.0,,0.0,24.0,,0.0,0.0,116.0,0.0,0.0,,0.0,0.0,,1.0,0.0,NBA,2.0,0.0,,0.0,0.0,PF,0.0,2006-07,0.0,0.0,UTA,
amundlo01,3.6,9.1,0.4,0.0,0.0,,0.6,24.0,,4.9,9.1,103.0,3.6,9.1,0.4,2.4,6.1,0.4,10.0,0.0,NBA,87.0,7.9,91.0,9.1,9.7,PF,0.6,2006-07,3.0,17.0,PHI,0.4
